#CORES  t_TOTAL_ours    t_TOTAL_flann
1   0.106152    0.0739874
2   0.0522206   0.0717314
4   0.0268259   0.0631234
8   0.0153069   0.0654103
16  0.0165858   0.0646841
24  0.023306    0.0644851
1   0.101828    0.0709267
2   0.102642    0.0714857
4   0.0261393   0.0697928
8   0.0155422   0.0695604
16  0.0140473   0.064299
24  0.0219875   0.0638774
1   0.102693    0.0712906
2   0.0511581   0.0724298
4   0.0263129   0.068344
8   0.015487    0.0648689
16  0.0164728   0.0699308
24  0.0224205   0.0643277
1   0.0996869   0.0721091
2   0.0510527   0.0708401
4   0.0264626   0.0711443
8   0.0152238   0.0639504
16  0.0308917   0.0812752
24  0.0227149   0.064263

