#CORES  t_TOTAL_ours    t_TOTAL_flann
1   12.0546     9.57722
2   5.76013     7.99353
4   2.93642     7.89896
8   1.49104     7.23992
16  0.922602    8.00493
24  0.647908    7.46742
1   12.3715     9.2747
2   5.732       7.95921
4   2.89916     7.85072
8   1.51124     7.98525
16  0.952609    7.95893
24  0.672964    7.42736
1   11.5576     8.62981
2   5.86714     8.17017
4   2.94213     8.25859
8   1.71807     7.9431
16  1.00651     7.99941
24  0.676627    7.42413
1   12.3325     9.23939
2   5.94163     8.24355
4   2.98749     8.15012
8   1.50742     8.01059
16  0.854234    7.227
24  0.633029    7.4675
