#CORES  t_TOTAL_ours    t_TOTAL_flann
1   3.74816     0.953638
2   2.31078     0.432557
4   1.03629     0.205767
8   0.53472     0.108154
16  0.33736     0.0591631
24  0.221298    0.0448587
1   3.33566     0.976669
2   2.49746     0.380447
4   1.0713      0.20657
8   0.540958    0.111591
16  0.346149    0.059073
24  0.230619    0.0443925
1   3.31765     1.02703
2   2.3158      0.439247
4   1.03883     0.20603
8   0.538427    0.111574
16  0.338452    0.0599389
24  0.211953    0.0479804
1   3.51548     0.992186
2   2.20414     0.422984
4   1.06531     0.213409
8   0.535975    0.111902
16  0.383981    0.0601037
24  0.210521    0.0462591
