#CORES  t_TOTAL_ours    t_TOTAL_flann
1    175.346  65.9405
2    97.708   37.2349
4    47.2819  18.7421
8    24.4122  9.47982
16   17.2535  6.1233
24   8.75555  4.26506
1    199.341  81.7691
2    97.5012  37.943
4    47.7309  19.2145
8    24.9004  9.69215
16   18.0247  5.73026
24   8.76802  4.22834
1    162.05   75.2493
2    101.48   36.5727
4    50.364   19.1882
8    26.7526  9.53048
16   22.6728  6.91888
24   9.11544  4.26857
1    192.049  76.3688
2    104.828  38.0107
4    50.4349  19.1256
8    --.----  ---.---
16   12.702   6.11999
24   8.74616  4.25378

