# Exponent	Bytes	KB	MB	Time	GB/s
6	64	0.0625	6.10352e-05	1.32533e-05	0.00449736
7	128	0.125	0.00012207	1.01952e-05	0.0116927
8	256	0.25	0.000244141	1.29757e-05	0.0183743
9	512	0.5	0.000488281	1.30201e-05	0.036623
10	1024	1	0.000976562	4.288e-06	0.222405
11	2048	2	0.00195312	4.49516e-06	0.424312
12	4096	4	0.00390625	8.71636e-06	0.437648
13	8192	8	0.0078125	1.04033e-05	0.733362
14	16384	16	0.015625	1.60823e-05	0.948794
15	32768	32	0.03125	2.52037e-05	1.21084
16	65536	64	0.0625	3.28799e-05	1.85631
17	131072	128	0.125	5.22294e-05	2.3372
18	262144	256	0.25	9.03827e-05	2.70119
19	524288	512	0.5	0.000165953	2.94228
20	1048576	1024	1	0.000313092	3.11909
21	2097152	2048	2	0.000613804	3.182
22	4194304	4096	4	0.00126992	3.07597
23	8388608	8192	8	0.0025252	3.09381
24	16777216	16384	16	0.00500026	3.12484
25	33554432	32768	32	0.00985534	3.17087
26	67108864	65536	64	0.0195248	3.20105
27	134217728	131072	128	0.0389056	3.21291
28	268435456	262144	256	0.0776743	3.21857
